Year,Price
,
01/07/97 0:00,3.82
,
01/08/97 0:00,3.8
,
01/09/97 0:00,3.61
,
01/10/97 0:00,3.92
,
01/13/97 0:00,4
,
01/14/97 0:00,4.01
,
01/15/97 0:00,4.34
,
01/16/97 0:00,4.71
,
01/17/97 0:00,3.91
,
01/20/97 0:00,3.26
,
01/21/97 0:00,2.99
,
01/22/97 0:00,3.05
,
01/23/97 0:00,2.96
,
01/24/97 0:00,2.62
,
01/27/97 0:00,2.98
,
01/28/97 0:00,3.05
,
01/29/97 0:00,2.91
,
01/30/97 0:00,2.86
,
01/31/97 0:00,2.77
,
02/03/97 0:00,2.49
,
02/04/97 0:00,2.59
,
02/05/97 0:00,2.65
,
02/06/97 0:00,2.51
,
02/07/97 0:00,2.39
,
02/10/97 0:00,2.42
,
02/11/97 0:00,2.34
,
02/12/97 0:00,2.42
,
02/13/97 0:00,2.22
,
02/14/97 0:00,2.12
,
02/18/97 0:00,1.84
,
02/19/97 0:00,1.95
,
02/20/97 0:00,1.92
,
02/21/97 0:00,1.92
,
02/24/97 0:00,1.92
,
02/25/97 0:00,1.77
,
02/26/97 0:00,1.81
,
02/27/97 0:00,1.8
,
02/28/97 0:00,1.78
,
03/03/97 0:00,1.8
,
03/04/97 0:00,1.87
,
03/05/97 0:00,1.92
,
03/06/97 0:00,1.82
,
03/07/97 0:00,1.89
,
03/10/97 0:00,1.95
,
03/11/97 0:00,1.92
,
03/12/97 0:00,1.96
,
03/13/97 0:00,1.98
,
03/14/97 0:00,1.97
,
03/17/97 0:00,2.01
,
03/18/97 0:00,1.91
,
03/19/97 0:00,1.88
,
03/20/97 0:00,1.88
,
03/21/97 0:00,1.87
,
03/24/97 0:00,1.8
,
03/25/97 0:00,1.85
,
03/26/97 0:00,1.85
,
03/27/97 0:00,1.84
,
03/31/97 0:00,1.84
,
04/01/97 0:00,1.95
,
04/02/97 0:00,1.85
,
04/03/97 0:00,1.87
,
04/04/97 0:00,1.91
,
04/07/97 0:00,1.99
,
